"brand","Марка","Классификация","Применение","Зарубежные_аналоги","Дополнение","Заменитель"
"AlZr5A","AlZr5A","Алюминиевые лигатуры","Для легирования и модифицирования при производстве деформируемых и литейных алюминиевых сплавов","Нет данных","",""
"AlZr5B","AlZr5B","Алюминиевые лигатуры","Для легирования и модифицирования при производстве деформируемых и литейных алюминиевых сплавов","Нет данных","",""
"А0","А0","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А35ГОСТ11069-2001","А35ГОСТ11069-2001","Алюминий первичный","для производства чушек, слитков, катанки, ленты и др.","Известны","",""
"А5","А5","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А5Е","А5Е","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А6","А6","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А7","А7","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А7Е","А7Е","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А7Э","А7Э","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А8","А8","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А85","А85","Алюминий первичный","алюминий технической чистоты","Известны","",""
"А95","А95","Алюминий первичный","алюминий высокой чистоты","Нет данных","",""
"А97","А97","Алюминий первичный","алюминий высокой чистоты","Нет данных","",""
"А98","А98","Алюминий первичный","алюминий высокой чистоты","Известны","",""
"А99","А99","Алюминий первичный","алюминий высокой чистоты","Известны","",""
"А995","А995","Алюминий первичный","алюминий высокой чистоты","Нет данных","",""
"А999","А999","Алюминий первичный","алюминий особой чистоты","Нет данных","",""
"А99КВ","А99КВ","Алюминий первичный","для производства плоских слитков, предназначенных для прокатки на листы, ленты и другие полуфабрикаты","Нет данных","",""
"АВ","АВ","Алюминиевый деформируемый сплав","для изготовления лопастей вертолетов, штампованных и кованных деталей сложной конфигурации","Известны","",""
"АВ86","АВ86","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ86Ф","АВ86Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ87","АВ87","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ87Ф","АВ87Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ88","АВ88","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ88Ф","АВ88Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ91","АВ91","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ91Ф","АВ91Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ92","АВ92","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ92Ф","АВ92Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ97","АВ97","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВ97Ф","АВ97Ф","Алюминий для раскисления","для раскисления, производства ферросплавов и алюминотермии","Нет данных","",""
"АВД1-1","АВД1-1","Алюминиевый деформируемый сплав","для изготовления слитков, обрабатываемых давлением, а также для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АВД1","АВД1","Алюминиевый деформируемый сплав","для изготовления слитков, обрабатываемых давлением, а также для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АВЕ","АВЕ","Алюминиевый деформируемый сплав","Для изготовления катанки, получаемой непрерывным литьем и прокаткой и предназначаемой для изготовления проволоки для электрических целей","Нет данных","",""
"АД","АД","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД0","АД0","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД00","АД00","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД000","АД000","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД00Е","АД00Е","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД0Е","АД0Е","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД1","АД1","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АД1пл","АД1пл","Алюминий технический","в качестве плакирующего слоя плит и листов из сплавов АМг6, Д1, Д16, Д19, Д20, ВАД1 (Д24), АК4-1, ВД1, АКМ","Нет данных","",""
"АД31","АД31","Алюминиевый деформируемый сплав","для изготовления деталей невысокой прочности и высокой коррозионной стойкости, работающих в интервале от -70 до 50 град.","Известны","",""
"АД31Е","АД31Е","Алюминиевый деформируемый сплав","для изготовления различных деталей радиоэлектронной промышленности и электротехники с гарантированными электрическими характеристиками","Известны","",""
"АД33","АД33","Алюминиевый деформируемый сплав","для изготовления деталей средней прочности и высокой коррозионной стойкости, работающих в интервале от -70 до 50 град., во влажной атмосфере и морской воде","Известны","",""
"АД35","АД35","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации","Известны","",""
"АДоч","АДоч","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АДС","АДС","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АДч","АДч","Алюминий технический","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, прутков, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации, а также слитков и слябов","Известны","",""
"АЖ0.6","АЖ0.6","Алюминиевый деформируемый сплав","Для изготовления холоднокатаной фольги, предназначенной для упаковывания пищевых продуктов, изделий медицинского назначения.","Нет данных","",""
"АЖ0.8","АЖ0.8","Алюминиевый деформируемый сплав","Для изготовления холоднокатаной фольги, предназначенной для упаковывания пищевых продуктов, изделий медицинского назначения.","Нет данных","",""
"АЖ1","АЖ1","Алюминиевый деформируемый сплав","Для изготовления холоднокатаной фольги, предназначенной для упаковывания пищевых продуктов, изделий медицинского назначения.","Нет данных","",""
"АК10М2Н","АК10М2Н","Алюминиевый литейный сплав","для чушек, изготовляемых из первичных металлов, лома и отходов цветных металлов и сплавов, и предназначенных для производства поршней двигателей.","Нет данных","",""
"АК10су","АК10су","Алюминиевый литейный сплав","для изготовления чушек и различных фасонных отливок литьем под давлением","Нет данных","",""
"АК11М2","АК11М2","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок литьем под давлением.","Нет данных","",""
"АК12","АК12","Алюминиевый литейный сплав","Сплав на основе системы алюминий - кремний - магний (силумин). Из сплава получают плотные герметичные отливки сложной формы, не испытывающие в процессе эксплуатации значительных нагрузок, сплав отличается высокой герметичностью.","Известны","",""
"АК12ж","АК12ж","Алюминиевый литейный сплав","Силумин в чушках используется в машиностроении и для изготовления изделий пищевой промышленности.","Нет данных","",""
"АК12М2","АК12М2","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок литьем под давлением.","Нет данных","",""
"АК12М2МгН","АК12М2МгН","Алюминиевый литейный сплав","для изготовления фасонных отливок, поршней дизелей","Известны","",""
"АК12ММгН","АК12ММгН","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК12оч","АК12оч","Алюминиевый литейный сплав","Силумин в чушках используется в машиностроении и для изготовления изделий пищевой промышленности.","Нет данных","",""
"АК12П","АК12П","Алюминиевый литейный сплав","Для изготовления изделий пищевого назначения","Нет данных","",""
"АК12пч","АК12пч","Алюминиевый литейный сплав","Силумин в чушках используется в машиностроении и для изготовления изделий пищевой промышленности.","Нет данных","",""
"АК12ч","АК12ч","Алюминиевый литейный сплав","Силумин в чушках используется в машиностроении и для изготовления изделий пищевой промышленности.","Нет данных","",""
"АК13","АК13","Алюминиевый литейный сплав","для изготовления чушек и отливок различными способами литья (в песчаные формы, по выплавляемым моделям, в кокиль, литьем под давлением)","Нет данных","",""
"АК18","АК18","Алюминиевый литейный сплав","для чушек, изготовляемых из первичных металлов, лома и отходов цветных металлов и сплавов, и предназначенных для производства поршней двигателей.","Нет данных","",""
"АК21М2.5Н2.5","АК21М2.5Н2.5","Алюминиевый литейный сплав","для изготовления фасонных отливок","Нет данных","",""
"АК4-1","АК4-1","Алюминиевый деформируемый сплав","для изготовления деталей реактивных двигателей","Известны","",""
"АК4-1ч","АК4-1ч","Алюминиевый деформируемый сплав","для изготовления плит, листов, штампованных заготовок","Известны","",""
"АК4","АК4","Алюминиевый деформируемый сплав","для изготовления деталей реактивных двигателей","Известны","",""
"АК4М4","АК4М4","Алюминиевый литейный сплав","для изготовления фасонных отливок","Нет данных","",""
"АК4ч","АК4ч","Алюминиевый деформируемый сплав","для изготовления чушек, используемых для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АК5М","АК5М","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АК5М2","АК5М2","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК5М2П","АК5М2П","Алюминиевый литейный сплав","Для изготовления изделий пищевого назначения","Нет данных","",""
"АК5М4","АК5М4","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок различными способами литья (в песчаные формы, по выплавляемым моделям, в кокиль, литьем под давлением)","Известны","",""
"АК5М7","АК5М7","Алюминиевый литейный сплав","для изготовления фасонных отливок. Сплав изготовляют из вторичных отходов. Химический состав сплава варьируется в широких пределах, поэтому его физико-химические свойства нестабильны.","Известны","",""
"АК5Мч","АК5Мч","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АК6","АК6","Алюминиевый деформируемый сплав","для изготовления сложных штамповок","Известны","",""
"АК6М2","АК6М2","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок различными способами литья (в песчаные формы, по выплавляемым моделям, в кокиль)","Нет данных","",""
"АК6ч","АК6ч","Алюминиевый деформируемый сплав","для изготовления чушек, используемых для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АК7","АК7","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК7М2","АК7М2","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК7П","АК7П","Алюминиевый литейный сплав","Для изготовления изделий пищевого назначения","Нет данных","",""
"АК7пч","АК7пч","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АК7Ц9","АК7Ц9","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК7ч","АК7ч","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АК8","АК8","Алюминиевый деформируемый сплав","для изготовления высоконагруженных деталей самолетов; для деталей, работающих в условиях криогенных температур","Известны","",""
"АК8л","АК8л","Алюминиевый литейный сплав","Сплав обладает высокой герметичностью и применяется для литья корпусных деталей, работающих под высоким внутренним давлением жидкостей и газов.Сплав на основе системы алюминий - кремний - магний (силумин)","Известны","",""
"АК8М","АК8М","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АК8М3","АК8М3","Алюминиевый литейный сплав","для изготовления литьем под давлением силовых и герметичных деталей, работающих при температурах до +250 °С","Нет данных","",""
"АК8М3ч","АК8М3ч","Алюминиевый литейный сплав","для изготовления силовых и герметичных деталей, работающих до 250 град., изготовляемых литьем под давлением","Нет данных","",""
"АК9","АК9","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК9М2","АК9М2","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок различными способами литья (литьем в кокиль, литьем под давлением)","Нет данных","",""
"АК9П","АК9П","Алюминиевый литейный сплав","Для изготовления изделий пищевого назначения","Нет данных","",""
"АК9пч","АК9пч","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АК9с","АК9с","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок различными способами литья","Нет данных","",""
"АК9Ц6","АК9Ц6","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок.","Нет данных","",""
"АК9Ц6р","АК9Ц6р","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок.","Нет данных","",""
"АК9ч","АК9ч","Алюминиевый литейный сплав","для изготовления деталей средней и большой нагруженности; сплав отличается высокой герметичностью. Из-за повышенной склонности к газонасыщению и образованию пористости для получения отливок рекомендуется применять кристаллизацию под давлением.Сплав на основе системы алюминий - кремний - магний (силумин)","Известны","",""
"АКД4","АКД4","Алюминиевый деформируемый сплав","для изготовления деталей реактивных двигателей","Известны","",""
"АКД6","АКД6","Алюминиевый деформируемый сплав","для изготовления сложных штамповок","Известны","",""
"АКД8","АКД8","Алюминиевый деформируемый сплав","для изготовления высоконагруженных деталей самолетов; для деталей, работающих в условиях криогенных температур","Известны","",""
"АКМ","АКМ","Алюминиевый деформируемый сплав","для изготовления слитков, обрабатываемых давлением, а также для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АКЦМ","АКЦМ","Алюминиевый деформируемый сплав","для изготовления слитков, обрабатываемых давлением, а также для подшихтовки при изготовлении алюминиевых сплавов","Нет данных","",""
"АЛ1","АЛ1","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ10В","АЛ10В","Алюминиевый литейный сплав","для изготовления фасонных отливок. Сплав изготовляют из вторичных отходов. Химический состав сплава варьируется в широких пределах, поэтому его физико-химические свойства нестабильны.","Известны","",""
"АЛ11","АЛ11","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ13","АЛ13","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АЛ14В","АЛ14В","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ15В","АЛ15В","Алюминиевый литейный сплав","для изготовления фасонных отливок","Нет данных","",""
"АЛ19","АЛ19","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АЛ2","АЛ2","Алюминиевый литейный сплав","Сплав на основе системы алюминий - кремний - магний (силумин). Из сплава получают плотные герметичные отливки сложной формы, не испытывающие в процессе эксплуатации значительных нагрузок, сплав отличается высокой герметичностью.","Известны","",""
"АЛ21","АЛ21","Алюминиевый литейный сплав","для изготовления фасонных отливок","Нет данных","",""
"АЛ22","АЛ22","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Нет данных","",""
"АЛ23-1","АЛ23-1","Алюминиевый литейный сплав","для изготовления деталей с повышенной коррозионной стойкостью","Известны","",""
"АЛ23","АЛ23","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АЛ24","АЛ24","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АЛ25","АЛ25","Алюминиевый литейный сплав","для изготовления фасонных отливок, поршней дизелей","Известны","",""
"АЛ26","АЛ26","Алюминиевый литейный сплав","для изготовления фасонных отливок, поршней дизелей","Нет данных","",""
"АЛ27-1","АЛ27-1","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Нет данных","",""
"АЛ27","АЛ27","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АЛ28","АЛ28","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ29","АЛ29","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ3","АЛ3","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АЛ30","АЛ30","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ32","АЛ32","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АЛ33","АЛ33","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Нет данных","",""
"АЛ34","АЛ34","Алюминиевый литейный сплав","Сплав обладает высокой герметичностью и применяется для литья корпусных деталей, работающих под высоким внутренним давлением жидкостей и газов.Сплав на основе системы алюминий - кремний - магний (силумин)","Известны","",""
"АЛ3В","АЛ3В","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ4-1","АЛ4-1","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ4","АЛ4","Алюминиевый литейный сплав","для изготовления деталей средней и большой нагруженности; сплав отличается высокой герметичностью. Из-за повышенной склонности к газонасыщению и образованию пористости для получения отливок рекомендуется применять кристаллизацию под давлением.Сплав на основе системы алюминий - кремний - магний (силумин)","Известны","",""
"АЛ4В","АЛ4В","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ4М","АЛ4М","Алюминиевый литейный сплав","для изготовления фасонных отливок ; сплав герметичный","Известны","",""
"АЛ5-1","АЛ5-1","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АЛ5","АЛ5","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АЛ6","АЛ6","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ7-4","АЛ7-4","Алюминиевый литейный сплав","детали двигателей; сплав герметичный","Нет данных","",""
"АЛ7","АЛ7","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АЛ8","АЛ8","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АЛ9-1","АЛ9-1","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АЛ9","АЛ9","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав отличается высокой герметичностью","Известны","",""
"АЛ9В","АЛ9В","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АМ4.5Кд","АМ4.5Кд","Алюминиевый литейный сплав","для жаропрочных высокопрочных изделий","Известны","",""
"АМ4","АМ4","Алюминиевый деформируемый сплав","для производства профилей, изготавливаемых прессованием с последующим волочением или холодным вдавливанием","Нет данных","",""
"АМ5","АМ5","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав высокопрочный жаропрочный","Известны","",""
"АМг0.5","АМг0.5","Алюминиевый деформируемый сплав","для изготовления лент; сварных и клепаных элементов конструкций авиастроения и судостроения, испытывающих сравнительно небольшие нагрузки и требующих высокого сопротивления коррозии.","Нет данных","",""
"АМг1.5","АМг1.5","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов (листов, лент, полос) методом горячей или холодной деформации; сварных и клепаных элементов конструкций авиастроения и судостроения, испытывающих сравнительно небольшие нагрузки и требующих высокого сопротивления коррозии.","Известны","",""
"АМг1","АМг1","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации; коррозионная стойкость высокая","Известны","",""
"АМг10","АМг10","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АМг10ч","АМг10ч","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Нет данных","",""
"АМг11","АМг11","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Нет данных","",""
"АМг1М1","АМг1М1","Алюминиевый деформируемый сплав","для производства плоских слитков, предназначенных для прокатки на листы, ленты и другие полуфабрикаты","Нет данных","",""
"АМг2.5","АМг2.5","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов (листов, лент, полос) методом горячей или холодной деформации; деталей авиастроения","Известны","",""
"АМг2","АМг2","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов (листов, лент, полос, плит, профилей, панелей, труб, проволоки, штамповок и поковок) методом горячей или холодной деформации; коррозионная стойкость высокая","Известны","",""
"АМг3.5","АМг3.5","Алюминиевый деформируемый сплав","для изготовления полуфабрикатного проката методом горячей или холодной деформации; для деталей авиастроения.","Известны","",""
"АМг3","АМг3","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации; коррозионная стойкость высокая","Известны","",""
"АМг3С","АМг3С","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации","Известны","",""
"АМг4.5","АМг4.5","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации","Известны","",""
"АМг4","АМг4","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации","Известны","",""
"АМг4К1.5М","АМг4К1.5М","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок","Нет данных","",""
"АМг4К1.5М1","АМг4К1.5М1","Алюминиевый литейный сплав","для изготовления чушек и фасонных отливок","Нет данных","",""
"АМг5","АМг5","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации","Известны","",""
"АМг5К","АМг5К","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АМг5Мц","АМг5Мц","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АМг5П","АМг5П","Алюминиевый деформируемый сплав","для изготовления проволоки для холодной высадки","Нет данных","",""
"АМг6","АМг6","Алюминиевый деформируемый сплав","для изготовления полуфабрикатов методом горячей или холодной деформации, а также слитков и слябов; коррозионная стойкость высокая","Нет данных","",""
"АМг6Л","АМг6Л","Алюминиевый литейный сплав","для изготовления фасонных отливок; сплав коррозионно-стойкий","Известны","",""
"АМг6лч","АМг6лч","Алюминиевый литейный сплав","для изготовления деталей с повышенной коррозионной стойкостью","Известны","",""
"АМг7","АМг7","Алюминиевый литейный сплав","для изготовления фасонных отливок","Известны","",""
"АМК","АМК","Алюминиевый антифрикционный сплав","для получения биметаллической ленты со сталью методом прокатки с последующей штамповкой вкладышей с толщиной антифрикционного слоя менее 1 мм.","Нет данных","",""
"АМСТ","АМСТ","Алюминиевый антифрикционный сплав","для получения биметаллической ленты со сталью методом прокатки с последующей штамповкой вкладышей с толщиной антифрикционного слоя менее 0.5 мм.","Нет данных","",""
"АМц","АМц","Алюминиевый деформируемый сплав","для изготовления сварных баков, бензо и маслопроводов, радиаторов и т.д; коррозионная стойкость высокая","Известны","",""
